,문장,hate,probability,pred
625,모유수유 중단하고 분유스유하면되지!맨날 니 젖안나오는것도 인터넷뉴스로 봐야하니!,1,0.19304514,0.0
626,몰카 공유? 와...대박 공유씨 실망이네여... 도깨비보구팬됏는데... 연애개 태출하시길.....,1,0.70632225,1.0
627,"몰카충 데이트폭력범 최종범 쉴드치고 중립 기어 ㅇㅈㄹ 하던 한남들 지금와서 아닌척 개역겹네. 데이트폭력, 불법촬영 몰카 협박범, 음주운전 하는 성범죄자최종범은 무죄받는 한남민국, 여혐민국",1,0.99170333,1.0
628,몸매 미끈한 여자들이야말로 남자에게 최고지,1,0.96965754,1.0
629,몸이 아픈것도 본인의 의지라고 얘기해보시지?ㅉㅉㅉ 몸아픈것도 당산의 의지가없어서요 ㅋㅋㅋ,1,0.7281332,1.0
630,몸이 중년 아주머니네 살빼라,1,0.8772843,1.0
631,몸이 화났다고? 발정났나? 무슨 개같은소리 쳐하노?,1,0.99147624,1.0
632,몸주고~ 맘주고 ~사랑 주고~버림받은 여자 빚이 많아 행복한 여자~~,1,0.9689743,1.0
633,못배웠나?나이먹고 ㅉㅉㅉ,1,0.5929919,1.0
634,못생겼으니 옷이라도 뻘겋게 입고 뻘건살 내놔야지 근데 극혐,1,0.9619198,1.0
635,못생긴 애들 mc시키지 말자. 볼때마다 짜증난다,1,0.97886413,1.0
636,못생긴게 쳐 마누라 잘만나가... 신영수 졸라 못생김,1,0.9910472,1.0
637,무당 엄마가 딸이 교통사고 당할걸 미리 예측 못하나요,1,0.19956939,0.0
638,무슨 김건모가 조폭이냐? 요즘이 어떤 세상인데 업소녀가 싫다는데 성폭행을 해! 업소ㅠ지키는 조폭한테 맞아 뒤진다~ 말 같지도ㅜ않은 개소리 하구 있어! 업소녀가 돈 띁어 내려고 작당한거구만~ 증거나 있나??,1,0.86116177,1.0
639,무슨 장례식장이 패션쇼장이냐홍정욱 행거치프는 뭐냐 OOO 외국넘이라 그런지 예의도 몰라,1,0.42742988,0.0
640,무식한 애들 참 많네... 살인과 의료상 과실치사가 같냐? 사람 죽여놓고 2년이 말이 되냐니... 무식한 것도 정도껏 무식해야 귀엽다하지 이건 뭐... 저런 것들도 국민이라고 나랑 똑같이 한표씩 가지고 있겠지...,1,0.82829475,1.0
641,무표정일때 눈빛이 약간 양아치 같은 느낌이 있었는데 역시 관상은 틀리지 않어 ㅋ 해병대 출신은 왜다 저렇냐 ㅋ,1,0.65973604,1.0
642,문돼지 그만 처무ㄱ처무ㄱ 하고 니딸 이나 잘챙겨먹이길,1,0.98849386,1.0
643,문란한 아이돌이면 엑소나 워너원이겟지 방탄오빠들은 절대아님,1,0.8441644,1.0
644,문재앙 감방보내라 그리고 사형시켜야된다고봄,1,0.21731354,0.0
645,문재앙 때문에 애먼 사람이 눈물 흘리네ㅉㅉ,1,0.6099057,1.0
646,문재앙 이놈의 북한사랑에 환장한 정권이 또 한가정 풍비박산나게 만드는구나,1,0.7744328,1.0
647,문재앙 이놈이 대체 뭘 덮으려고 이러는지...,1,0.8105061,1.0
648,문재앙 주사파 정권 지지자 전라도네 역시~,1,0.9717211,1.0
649,문재앙 폭탄 왁스 토나왔스 한걸레 오마이가스레인지 비둘기집단 개정은 꿀정숙 몬스터엑소 레드카펫 핫핑크,1,0.82948494,1.0
650,문재앙놈 땜에 애꿎은 젊은남자들만 희생을 당하네~~~,1,0.9915827,1.0
651,문재앙때문에 나라꼴 미쳐돌아가네요. 탄핵만이 정답일듯,1,0.97223413,1.0
652,문재앙땜에 나라꼴이 개판인데 이제 세계의 제앙 이라니 깝깝하다,1,0.9698887,1.0
653,문재앙부터 조사가자,1,0.2139046,0.0
654,문재앙시대라 반미 민족주의 드라마냐 ㅋㅋ 진짜 빨갱이들은 남영동부활시켜서 다 조져야됨,1,0.99083966,1.0
655,문재앙은 언제죽냐 범죄자ㅅㄲ들이 명줄은길더라,1,0.92778426,1.0
656,"문재앙이 문제다. 뭘 덮으려고 이혼까지 시키냐? 이게 다 문재앙때문이다. 우리공화당 광화문텐트 폭력철거, 삼척 간첩선, 북한과 군사정보교환, 한미동맹 파기의 이슛가 가장 큼",1,0.8234846,1.0
657,문재앙이 뭐 덮으려고 연예인 터트리는건지 명백히밝히자,1,0.7995309,1.0
658,문재인 ㄱH만도 못한것 ㅉㅉ,1,0.16441467,0.0
659,문재인 저격드라마,1,0.12099756,0.0
660,문재인가족 외국이주한 딸래미 세무조사 해야함 어찌 망해가는 게임 업체 연봉이 얼마라고 외국 국제 학교를 다보내고 이건 말도 안되는소리지 문재인가족들 국정감사부터 세무조사 먼저 하고 시작해야함,1,0.7261565,1.0
661,문재인도 극혐,1,0.9271965,1.0
662,문재인들어서고 언론이 더더욱 언플날조만일삼고 신뢰잃어 쓰레기되가는즁.,1,0.8143112,1.0
663,문재인아들도 관련있다던데 그래서 그랬나보군,1,0.14668052,0.0
664,문재인이 대통령되고 국가가 공산주의가 되는 것 같다. 적당히해라.,1,0.86358,1.0
665,문죄앙 오늘만 몇번째냐 온갖 연예인 기사로 도배중이네 드루킹 덮으려고 더러운정권,1,0.65359354,1.0
666,문죄인이 그렇지 머 자기 사람이니 수사 제대로 하겠엉~~~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0.74754864,1.0
667,문죄인이나 잘하라해,1,0.7605865,1.0
668,물곰 원래 비쌈... 그럿도 모르고 5인분 시킨 얼간이들 잘못이지... 왜 애꿎은 가게를 욕하지???,1,0.84956557,1.0
669,뭐 그럼 어떤말이 좋은 충고임!! 쳐맞고 살던가! 자살하던가! 죽이던가! 독립하던가! 맞는말 했구만,1,0.98799974,1.0
670,뭐 댓글들 상황 보니깐 ..박명수 마눌님은 여자로서 충분히 매력잇는 사람잇듯. 쿵쾅쿵쾅,1,0.87323827,1.0
671,뭐 여자들은 가슴살 노출은 노출이라고 생각 안하잖아?꼭지만 가리면 된다고 생각하는거 아녀?윗가슴이나 아래가슴이나 같은 젖인데..,1,0.8727285,1.0
672,뭐 키스를 해 송소희 이논 한복입고 조신한척 하더니 호박씨 깠네 국악인의 수치다,1,0.8716273,1.0
673,뭐가 1등 신랑감?서울대 나와서 ?그건 옛말이고 ᆢ아직 이렇다할 자리매김도없는데 ᆢ,1,0.58406174,1.0
674,뭐만하면 공황장애래... 뉘집 개이름이냐,1,0.45146617,0.0
675,뭐야 저게ㅠ 완전 여장 남자같잖인ㅡㅡ 처음 cf나올때가 진짜 이뻤는데..여자보다 예쁜 트젠이었어,1,0.96012187,1.0
676,뭔 18 쳐먹다가 방송 끝내냐 그냥 혼자 쳐먹어 방송하지말고 면상은 생기다가 만년이 ㅉㅉㅉ,1,0.9787523,1.0
677,뭔 희대의 음탕녀래 미칀 ㅋㅋ 여러남자랑 놀아난것도 아니고 ㅋㅋ 불쌍한 역이지 뭐,1,0.8847046,1.0
678,뭘바래 걍 하차하세요 두년놈이똑갖은데 우찬이하고 헤어진지 얼마나됬다고 연예처하고 꼴사납게 처 놀더만 한걸래는 내가 그럴줄알았다 에휴 달심이이가않이라 한심이다 한걸래,1,0.9728222,1.0
679,미국년 아니냐. 예전 사고치고 미국 도망가서는 흑인 택시기사한테 에스코트 받는모습 생각나네. 병원은 한국 의료보험 다 사용하겠지,1,0.793092,1.0
680,미국으로 시집을 많이 가냉 하긴 한남한테 가봤자 고생 바가지징 잘생각했어 굼미야,1,0.9915354,1.0
681,미나고 나발이고 노재팬은 변함없다. 한국 연예인들 일본서 개피보고있는데 일본년들 한국에서 미워하지 말란새끼들은 웬 빡대가리들이냐,1,0.9915837,1.0
682,미모같은소리하네!! 미모가 다 얼어죽었다!!!,1,0.81762075,1.0
683,미안하지만 그냥 성형인간으로 보임 저게뭐냐....아무리 이뻐지고싶은욕심은 끝이 없다지만...과연 부모님의 모습이 남아있을까? 참...철없어보인다 성형이 중독이라지만...좀 심해요,1,0.7414775,1.0
684,미진년 진짜 조심해야해! 여자잘못만나면 폐가망신한다. 이번 살인사건도 마찬가지고,1,0.9895195,1.0
685,미쳐버린 남태현빠순이들 댓글 모음창 닫을 줄도 몰라서 다 열어둔채로 일반인 코스프레 웩 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 줌내 지리고요 열폭 오지고요 ㅋㅋ탈덕은 지능순 모르면 외워,1,0.99131376,1.0
686,미친 내도 여자연예인 하고 함 해보자 나도 방송출연해줘 장동건보다 잘생겼다고 자부한다,1,0.9561852,1.0
687,미친짜식~~정준영이나 승리나 쓰레기나이 어린것들이 못 된것만 배워가지고욕도 아깝다,1,0.9900411,1.0
688,미투당하는한남들보다 훨씬나음 음악으루보답해주세영,1,0.9915854,1.0
689,미투충들아 언론에 놀아나는 개OOO들 미투는 니미 좠투다,1,0.9865949,1.0
690,"미혼성인남녀끼리있었던잠자리썰을 공개하는이유가뭐냐? 나이가몇인데 이런썰로엿먹이려는지몰라도, 한심하네,",1,0.97403145,1.0
691,믿고 거르는 송윤아,1,0.11489108,0.0
692,믿고 거르는 아이유,1,0.12160964,0.0
693,믿고 거르는 우익년,1,0.14500606,0.0
694,믿보...김혜숙... 우ㄱㄱㅣㄱㄱㅣ섬 ㄴㅏㄹㅏ 지구상서 ㅇㅏㅇㅖ없어졌으면...역ㄱㅕ운 ㅇㅏㅂㅔ... 오늘 축구도 ㄱㅐ망하고 어른 짐 ㅅㅅㅏ 돌대가리들 ㅇㅏ ㅈㅐ섭ㅇㅓ,1,0.97328496,1.0
695,밉상의 혼전임신?자랑이냐?그걸 또 지입으로 밝혀요..ㅋㅋ,1,0.8393015,1.0
696,바비도 검사해라. 쿠시는 이미 마약사범,1,0.8649519,1.0
697,바에서 몸파는 ㄴ이 멋있냐? ㅋㅋㅋ,1,0.75119925,1.0
698,박규리니 가능한거지.. 페미는 안되요 죽었다 깨어나도...,1,0.9815393,1.0
699,박나래 저사각턱이?? 방송사고급 표현 아닌가,1,0.8077602,1.0
700,박명수는 그렇다 쳐도 김제동은 뭔데 저기에 꼽사리껴있음?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0.9868255,1.0
701,박서준 방귀 냄새 독할거 같아,1,0.7524633,1.0
702,박성훈 부럽다............춘향이보다 xx는 향단이..... 진심 부럽^^,1,0.723285,1.0
703,박얘쁜 저분인거 백퍼고 또 한분은 급식때부터 생수머신드립을 치시고 ㅋㅋㅋㅋ 걍 노답인데 뭘 아프다니까 불쌍하다고 냄비들처럼 난리냐 ㅋㅋㅋㅋㅋㅋ 걍 쟈들은 노답들만 모인그룹이야 일진들 골라서 만든 양아치여자아이돌 ㅇㅇ,1,0.83371264,1.0
704,박유천.....이마가 굉장히 넓구나.....내가볼때는 넌 조만간 가발쓰고 다니겠구나.......공짜 좋아하게 생겼네....거짓말쟁이.구라쟁이 넌 입만열면 벌구다,1,0.9187849,1.0
705,박유하 극혐 모든 사람들의 관계를 망가트리는 전형적인 사람 답답함의 극치 선하는 시어머니 사이다 한번 날려줬음 좋겠다,1,0.75028473,1.0
706,박한별 연기 졸라못하네,1,0.33700898,0.0
707,박해미정도 글래머면 이혼하고 재결합까지도 얼마안걸릴듯 아직도섹시해서 돈있는영감님들사이에선 최고의인기녀지,1,0.77178234,1.0
708,반대상황이었음 남자 ㅈㄴ까겠지 ㅂㅅ페미 쿵쾅이들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무슨 이모랑 결혼해서 사냐 남자 부모 개불쌍하다,1,0.98910064,1.0
709,"반민정 꽃뱀으로 몰고갔던 남자들 진짜.. OOO들 왜 항상 피해자가 자신의 피해를 주장할 때 상처를 두번 세번 받아야 하는 건지,",1,0.6282914,1.0
710,반쪽 일본인과? 강냠상 돈많은가? 거기가 빅인가? 녀자가 끊이지않녜,1,0.9903155,1.0
711,발 빨구싶다.이뻐 핰,1,0.8598236,1.0
712,발가락 핣고 싶다.,1,0.84814465,1.0
713,발뺌 오지네 싸이코패스같은 ㄴ들,1,0.99100214,1.0
714,발손무릎만 멍이 왜 생기냐ㅋㅋ 두들겨 패면 얼굴하고 배에 멍 생기지ㅋㅋㅋㅋ,1,0.9880689,1.0
715,발정나서 성희롱 보내는 사람들많네,1,0.84351784,1.0
716,밤마다 어지간히.작살내나보다 살빠지는 거 보니 ㅋ,1,0.87367874,1.0
717,밤엔~~~좀~~ 약할것같은데요~~ㅋㅋㅋ,1,0.13473457,0.0
718,방송 못봤는데 김원희 애기 안갖는 이유가 조카라는거?조카를 자식처럼 여긴다는건지..남편과 시댁 생각은 안하나? 남편이 애 못갖는다면 할수없지만 그게 아니면 김원희 너무 이기적인데,1,0.4874743,0.0
719,방송 이미지는 믿을게못되. 며느리 갈굴지 어떻게아냐 김치들아,1,0.9916603,1.0
720,방송보고 진짜 나이어린데 배울점많다 했는데 실제로 촬영장근처 편의점에서 보고 깜놀 4가지 완전없....방송하고너무달라서개놀람,1,0.12844412,0.0
721,방송사 편집 하는 애 짤러 술처멱고 편집했냐 이 좋은 재료를 상차림 못하네 쯔쯧,1,0.55796707,1.0
722,방송사들도 적페들많다 정권바뀌면 함 엎어면 좋겠음 떳떳하고 아무사고안치고 착한 연예인들은 방송섭외가 잘안됨 왜 그럴까?? 피디나방송관계자새끼들이 그나물에 그나물이라그럼ㅋㅋ,1,0.9910315,1.0
723,방송안한다 하면서 젝키 공연에선 꼰대 처럼 서있더니... 요즘 재미 들리신듯~~~,1,0.3040115,0.0
724,방송출연해서 이런말 막해도 되나? 김학래는 가정 없이 혼자사는분인가? 글고 아무것도 모르는 우리도 남을 쓰레기라 말할 자격있나? 김학래씨도 잘못했다고 인정하는게 좋을듯 어떤 사정이 있었는지는 모르나 잘못한부분은 분명히 있으니,1,0.3761834,0.0
725,방탄 멤버 하나하나 다 헤드샷 당해라,1,0.15716644,0.0
726,방탄소년단도 이제 퇴물됬네 꺼져라 이제 ㅋㅋ,1,0.684361,1.0
727,배드신도 대역이 있나? 배드신은 욕망해소가 안되서 하는건지... 아무나 만지고.. 인간은 다 본능적으로 느껴질수밖에 없는 신체를 가졌는데 본능적인 감정은 연기가 아니잖아?,1,0.7946904,1.0
728,배우가 무슨벼슬이야.직장인은 몇년만 쉬어도 경력단절에 나이제한에 걸리는데 연옌들은 푹쉬고 나와도 감성팔이에 돈벌고.ㅜ,1,0.9546801,1.0
729,배우감은 아닌데...민기딸은 그거라도 크지...,1,0.29436454,0.0
730,배우아니랄까봐 중국인하고 결혼하고 지짜는 모습만 보여주내 ㅋㅋ 감성 팔이 존나역겹다,1,0.970626,1.0
731,백돼지 닮았네 헐 클났구나 인생 쫑이네 일찌감치 고시공부나 로스쿨준비해라 아니면 의대를 가던가 딸인데 빽씨랑붕어빵이면 이건 재앙이지 재앙,1,0.9876605,1.0
732,백상까지 조작한 sm.문재인들어서고 방송 문화 경제등 비리와 부패가 더 심각하고 망하고있다.조작사기댜 sm비리와 조작으로 인기구걸하는데도 조사없는 문재인끌어내려야지,1,0.8643256,1.0
733,백상에서도 인정 받은 드라마 나저씨를 왜 페미들은 인정안함?ㅋㅋㅋ,1,0.9841047,1.0
734,백종원 남재현 이휘재 고지용이나 디지지,1,0.45623368,0.0
735,백종원 너무 아저씨같다는 여자들 특 - 지들도 서른넘게 쳐먹은 아줌마란건 생각못함 ㅋㅋ,1,0.98301226,1.0
736,백종원 니가 잘못한거야... 원래ㅜ망할집은 망하게ㅡ놔둬야ㅜ하는거야.. 살리긴 뭘살려...너때문에 피해보는 사람이 더많아졌다,1,0.7974157,1.0
737,백종원 니음식점 맛이나 신경써라 음식나오는건 다조잡하게 만들어놓고 여기저기서 재잘대기는...,1,0.73577374,1.0
738,백종원 도 너무 오버하는거 같아. 연출이냐? 버럭하는데 내가 다 듣기싫음. 가르치는 방법이 저거밖에 없는지. 가르치는 사람이나 배우는 사람들이나 지혜가 부족. 골목식당도 이제 그만 봐야지. 내가 발암걸리겠다.,1,0.8244771,1.0
739,백종원 중국집 가봤더니 맛없더라.. 좀 본인 체인점부터 신경쓰시지,1,0.74846303,1.0
740,백종원... 백종원... 백정...,1,0.76774585,1.0
741,백종원한테도 초심따위는 없었지,1,0.7867486,1.0
742,백퍼 막장,1,0.5410007,1.0
743,벌레같은 것들..,1,0.98668694,1.0
744,벌린년이 나쁘냐? 꼽은놈이 나쁘냐?,1,0.979871,1.0
745,벌받는 악플러 성별보면 죄다 남자ㅋㅋㅋㅋㅋㅋㅋㅂㅅ들 왜그러고사냐? 한남들 걍 뒤져ㅋㅋㅋ 찌질하고 열등한거 딴사람한테 풀지말고,1,0.9917054,1.0
746,벌받아요 남성피해자들 이분꼭신고해요 미안해하지말고그냥벌받으세요~그여자들이랑같이요 동영상보니깐가관이더만같은여자라도때릴듯ㅋ그여자들이랑수준이비슷하니깐같이벌받아,1,0.71485275,1.0
747,벌써 분해 되었을듯.. 짱개들인데.. ㅋㅋㅋ,1,0.99154717,1.0
748,범죄를 범죄인줄 모르고 ㅈㄹ떠는놈들이나 남자들 무데기로 있는 호텔방가서 ㅊ먹는 ㄴ이나 에혀저런 ㄴ들 만나결혼하면 인생 망친다,1,0.9775878,1.0
749,법부터가 지롤이네 법안 똑바로 안만드냐? 국개의원들..,1,0.96274763,1.0
750,법적 책임없이 떡만 치겠다!!,1,0.8300435,1.0
751,법한도 벗어나 타인에게 범죄 저지른 새 ㄱ기는 그런거 따질 자격 없음.,1,0.78444225,1.0
752,벗으라고 누가 빌었냐? 보라고 올려놓고 왜 보냐 그러면 뭐라 그러냐? 요즘 계집들 제정신 아님.,1,0.87396336,1.0
753,변기유천 = 마약범 = 성범죄자,1,0.8464478,1.0
754,변신로봇인가 그래도 강다니앨인지 조폭같은애들보단 잘생겻네,1,0.78925663,1.0
755,별 커리어도없는여자가 집안빵빵하고 감독이란 호칭다니까 세상무서운줄모르겠지???인스타는 안가봤지만 뻔하겠지뭐 각종 헤례허식으로 가득차있겠지뭐,1,0.8352959,1.0
756,별 희한한 년이네ㅋ,1,0.31218916,0.0
757,별개 기사거리다임산부가 마네킹몸매 지랄도 가지가지다,1,0.9909411,1.0
758,별세를 했군여 ㅋㅋ,1,0.1638556,0.0
759,병문안 매니아,1,0.99119085,1.0
760,"보고싶다 동영상,,",1,0.12096747,0.0
761,보기싫으면 안보면 되는거지 굳이 보고와서 몰입이 안된다느니 뭐니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그렇게 싫으면 자기가 작가하든가,1,0.722336,1.0
762,보나마나 인생만큼 면상도 시궁창인 기무치뇬둘이 왕따시켰겠지 ㅉㅉ,1,0.91519195,1.0
763,보니하니 제작진들 좀 와봐라. 내가 장난 한번 처줄게. 니들은 채연보다 성인이니까 어깨가 아니라 턱주가리에다 풀스윙 날려줄게. 물론 장난이야.,1,0.95931035,1.0
764,보아하니 줄거리가 노비 유진최가 미국으로건너갔다 성공하여 신분 높은 애기씨 꼬시는 얘기네. . . 의병. 애국운동 등은 개나 줘버려. . !,1,0.81010985,1.0
765,보자로 시작하는 곳에서 오징어냄새나는 성별 특징 : bo적뽀 시전할 생각에 들떠서 기분좋아하면서 이쁘고 어린 아나운서 물어뜯는중,1,0.7902089,1.0
766,보통 약속한다는 손모양을 취할때는 새끼손가락만 펴지 누가 엄지손가락까지 저렇게 쫙 펴나 쉴드칠걸 쳐야지..,1,0.9876796,1.0
767,복장도 지정해주자. 흰옷에 노브라.,1,0.6620228,1.0
768,본넷 열고 허리숙이고 엔진룸보는 자세에서 뒤에서바로 벨트풀고싶었다 물론 팬벨트,1,0.6816556,1.0
769,"본인은 건강하다 하겠지~기초체력 테스트 한번 해볼까?근육량 미달에,저체중에,저혈압에,팔굽혀펴기 1개는 제대로 합니까?",1,0.82295185,1.0
770,부동산 업자의 알았을거다.이 한마디에 대성 평생 이룬 커리어를 무너트릴려고? 생각좀 해라ㅡㅡ 사실관계좀 확인하고...,1,0.6743105,1.0
771,부러운쿵쾅년들 지네는 인스타에 ㅈㄴ올려도화제안되니까 남들이쁜사진들보면 관종이라고 빼애액ㅋㅋㅋㅋㅋ 진짜 왜그러고사냐 돼지년들ㅋㅋ,1,0.9915971,1.0
772,부모가 범죄자지 마닷이 범죄자는 아니잖아 이 미친인간들아,1,0.9831734,1.0
773,부부도 오랄 안하는데 첨 만난 사람이 요구하니 깜놀이지 미친,1,0.9060808,1.0
774,"부인 과거그도 쿨하게~ 사랑한다고 하면 더 멋진 남편이 될테고, 그리고 과거가 뭐가 중요해?? 현재 수백억을 가진 자산가인데.,.! 진짜 속좁은 남편, 과거까지 미화시켜야 되는 한남 클라스.",1,0.9915834,1.0
775,부인이 남편홀대하고 잠자리 안챙겨주면 100퍼 바람난다,1,0.14494659,0.0
776,북어와 여자는 팰수록 맛이 난다.,1,0.7230861,1.0
777,북에서는 자유롭게 배타고 오드만 왜 우린 일본도 못가냐 재앙아?,1,0.8704221,1.0
778,분별없는 피해자가 가해자를 죽음으로내몰다니 좌파정권이 득실데는장에서 한사람이 또 생을 마감했네 나라가 얻로 가는지 한심하다 피해자라는 인간들이 또 가해자로 나서네 정말 사람을그렀게 만들어야했는지 제발정신좀차려라,1,0.9791058,1.0
779,분유먹이는것도 가슴 미워지던데.굳이 힘들게 하는건 .,1,0.12726314,0.0
780,불륜하는것들은 다 죽어야돼특히 유부녀년들은.,1,0.9905504,1.0
781,불편해한 사람들중99%가 메갈쿵쾅년일 듯ㅋㅋㅋ,1,0.8397702,1.0
782,불현한 애들 대부분 쿵쾅이들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 남자들이 불편해 하겠냐 ㅋㅋ,1,0.98665524,1.0
783,브라 안했다고 기사 메인에 뜨는 거 자체가 진짜 웃기고 무서운 일. 이게 대단한 일인가? 맞네 틀리네 할 일이야? ㅁㅊ 조선시대인간들. 여성을 이렇게나 옥죄다니.,1,0.9444866,1.0
784,브라를 하든 안하든 상관은 없어. 그런데 옷이 그리 야시시하게 입고 댕기는데 어느누가 한번 힐끔 안보겠냐? 그러면서 시선강간이 싫다고하면 대체 어쩌자는거야? 무인도가서 살아야겠지;,1,0.79305077,1.0
785,블랙리스트에 올린 자한당보단 낫지않음?축하하려고 초청한건데 너무 예민하게 반응하네ㅋㅋㅋㅋㅋㅋㅋ자한당은 세금으로 박물관 세울거란다난 좌파 우파 둘다 싫은데 우파가 더 토나옴ㅋㅋ,1,0.81229174,1.0
786,비....숭문중학교에서 개쓰래기였음..,1,0.15163551,0.0
787,비만은 창피한거에요 자기관리를 못하는거니까요 부끄러운줄 아세요,1,0.73364097,1.0
788,비위 오지나보다 ㅋ.ㅋ 돈이 좋긴하네,1,0.49874514,0.0
789,비위 좋아 하수도 물도 처먹엇엇다고 본다 동네 오줌도 먹고 똥도 먹고‼️‼️‼️,1,0.99131864,1.0
790,비호감 이윤지 서민정 극혐,1,0.87529826,1.0
791,"비호감인데,,,,나대니까 병에걸리지아무튼 관리잘하시길",1,0.85189366,1.0
792,비혼주의자 무자식 기혼자 진짜싫다나라걱정도 좀 해라,1,0.84704536,1.0
793,빅 슴가는 앞으로 누가 만져주나~~~~ㅋ,1,0.79534405,1.0
794,빛투 물타기냐.한고은 너무 연얘경력화려해서.한참놀다가먼눔의 애,1,0.12965186,0.0
795,빠순이들아 쉴드치면 더욕먹는다 ㅉㅉ 민혁은 사기꾼 아들이네 ㅉㅉ 돈갚아라 나쁜넘아,1,0.85162014,1.0
796,빠순이질로 부모 등골 빼먹더니 이젠 남편 등골 빼먹네 저러고 지 ㅅㅐ ㄲㅣ 앞에선 얼마나 유난 떨지,1,0.93264836,1.0
797,뻔뻔하게 장례식은 왜함?ㅋㅋㅋ,1,0.5431349,1.0
798,뻔뻔함이 개국이랑 동급인듯,1,0.15777352,0.0
799,뼈 붙는데는 개고기가 최고다~!!,1,0.7653948,1.0
800,뽕빤넘들 처럼 생기고 말하는거 보니까 양아치스럽던데 그걸 멋으로 알거아냐?ㅋㅋㅋ잔나비인지 잔잔바리인지 뭐시깽이들 꺼져라,1,0.94974416,1.0
801,뽕쟁이 몰골 ㄷㄷ,1,0.99159133,1.0
802,사고쳐서낳은애이면서 둘이ㅣ꼴잖내 ㅉㅉ,1,0.8346558,1.0
803,사고치고 사생활 더러운건 죄다 그 성별 한남들이네,1,0.9916705,1.0
804,사과 했잖아 그럼 좀 작작하고 그만 해라. 성매매충 한남들한텐 관대하면서,1,0.99171305,1.0
805,사기공화국 그지같은나라 망해버렸음..곧 망할것같지만..,1,0.85924697,1.0
806,사기꾼 키워준 이경규도 하차하라. 꼴뵈기 싫다.,1,0.9906392,1.0
807,사기칠수도 있지 ㅋㅋ누가 당하래??껄꼴꼴꼴꼴,1,0.9593654,1.0
808,사내대장부가 살다보면 좀 주무를수도 있다 그게 정상적인 사회다,1,0.3183509,0.0
809,사람에겐 싫어할 권리도 있다 왜 모든이가 널 이해해줘야 하는거냐? LGBT를 싫어할 권리도 있다 이해해주면 깨시민인줄 아는 사람들하고만 지내면 될것을 왜 이해하라고 강요하니?,1,0.72151923,1.0
810,사랑같은소리허네 불륜보다 더럽다 섹파트너밖에도돼니 쯧 가엽다 필립 젊은애좋아 집나감 죽네사네 질척거리지뻔해 쯧,1,0.8002482,1.0
811,사랑아ㅜㅜ너가 휠체어타는 불구가 되더라도 결혼해줄게 걱정마 ㅎ,1,0.14369878,0.0
812,사생들아. 저거보고 나도 장애 가져서 빅뱅 좋다고 하면 너만의 선물 줄거란 기대로 장애될 생각하지 말고 장애 가질거면 사생짓으로 인해 너 때문에 괴로웠을 연예인들한테 스스로 반성하면서 조용히 살 생각으로 장애 가져라,1,0.7326346,1.0
813,사인은 재앙이지 뭐,1,0.80353856,1.0
814,사자 명예훼선으로 인터폴 수배 바랍니다..,1,0.13230807,0.0
815,사진 송영길로올리시면어떡합니까 기자님 홍윤화님도 여자입니다,1,0.13036257,0.0
816,사진좀 작작 좀 올려라...욕 먹기 딱 좋네...애엄마 됐으면 이제 좀 자중해라...맨날 심심하니???,1,0.78129494,1.0
817,사회생활하면서 전라도만 거르면됨,1,0.9659955,1.0
818,사회인야구 형님이 서인영시절부터 9뮤지스 신인시절 =까지 매니저였음 애들은 참착하고 사람좋다고하지만.....과거는 더러웠다고하더라..... 더럽고 더러운곳이 연예계라고 하더라,1,0.15953755,0.0
819,산이 ㅋㅋㅋㅋ 그동안 여자들 묻지마 살인에는 아가리 다물더니 ㅋㅋㅋ 하여간 한국남자들 설치긴 .. ㅉ,1,0.9916999,1.0
820,산이는 피해자 아닌가??누가 엿먹으라고 띄운것 같은데매갈???,1,0.65591025,1.0
821,산이도 곧 재기하겠노 응원한다 재기해라 재기,1,0.9913941,1.0
822,살다가 미투한번 정도는 괜찮잖아? ㅋㅋ,1,0.80975896,1.0
823,살림남? 아내의맛과 더불어 최악의 쓰레기 예능으로 평가받을듯...,1,0.82348305,1.0
824,살이 찌면 찔수록 여자들에게는 호감도가 올라가지. 반대로 남자에게는 성적매력도가 떨어지고.,1,0.87390953,1.0
825,살인마 미투년들은 고개숙여 사죄해라,1,0.98297954,1.0
826,살찐돼지들 진짜싫다 남녀노소 돼지들은 개극혐,1,0.9914614,1.0
827,삼성 이재용놈이 사기행각 구속 수사촉구!!https://www1.president.go.kr/petitions/Temp/70RSXH,1,0.12698781,0.0
828,상당히 징그러운 성ㅡㅣ괴세요 ^^;;,1,0.89739627,1.0
829,상식적으로 생가해봐 조재현 처럼 잘생긴 배우가 뭐가 아쉬워 성폭행 하냐? 뇌가 있냐 꼴페미년들아 한 남들은 전부 못생겻다며? 그럼 잘생긴 조재현은 떠 받들어 줘야 정상이지,1,0.99150276,1.0
830,새로운시작을 가장한 신적폐 문재인,1,0.59124047,1.0
831,생각이란걸 하고 사는 사람인가...참나,1,0.12464991,0.0
